Dirección;Número instalación;Municipio
TRAN 50 CR 102 BB -7 (INTERIOR 104 );085090002220070104;MEDELLIN
CR 92 A CL 47 B -26 (INTERIOR 201 );054922107200260201;MEDELLIN
CL 27 A CR 89 -16;052817109000160000;MEDELLIN
CL 62 D CR 133 -15;086312403000150000;MEDELLIN
CR 89 CL 36 -29 (INTERIOR 202 );053829006000290202;MEDELLIN
CL 48 B CR 89 -11;054818209000110000;MEDELLIN
CR 125 CL 34 AA -199;083225004111990000;MEDELLIN
CR 84 CL 37 B -103 (INTERIOR 200 );053824007201030200;MEDELLIN
CL 73 SUR CR 46 E -15;017413006500150000;SABANETA
CL 78 E SUR CR 47 C -80 (INTERIOR 2613 );017418507300802613;SABANETA
CR 45 CL 77 SUR -40 (INTERIOR 524 );017425007000400524;SABANETA
CL 52 SUR CR 43 A -57 (INTERIOR 312 );015412003100570312;SABANETA
CL 74 SUR CR 45 -27 (INTERIOR 2102 );017414005000272102;SABANETA
CR 48 CL 76 D SUR -34 (INTERIOR 3105 );017428006400343105;SABANETA
CL 61 B SUR CR 40 -20 (INTERIOR 1201 );016411200000201201;SABANETA
CL 74 SUR CR 45 A -16 (INTERIOR 301 );017414005100160301;SABANETA
CR 46 A CL 72 SUR -38 (INTERIOR 302 );017426102000380302;SABANETA
CR 44 CL 62 SUR -33 (INTERIOR 2001 );016424002000332001;SABANETA
CL 76 E SUR CR 46 B -126 (INTERIOR 111 );017416506201260111;SABANETA
CL 76 D SUR CR 48 A -38 (INTERIOR 401 );017416408100380401;SABANETA
CL 77 SUR CR 35 -140 (INTERIOR 116 );017317005001400116;SABANETA
CL 71 SUR CR 35 -180 (INTERIOR 408 );017311005001800408;SABANETA
CL 75 SUR CR 33 -3 (INTERIOR 1209 );017315003000031209;SABANETA
CL 61 B SUR CR 40 -20 (INTERIOR 2802 );016411200000202802;SABANETA
CL 77 SUR CR 46 -180 (INTERIOR 2006 );017417006001802006;SABANETA
CR 46 CL 74 SUR -43 (INTERIOR 602 );017426004000430602;SABANETA
CL 76 E SUR CR 47 -27;017416507000270000;SABANETA
CL 79 SUR CR 46 -71;017419006000710000;SABANETA
CL 76 D SUR CR 47 -47;017416407000470000;SABANETA
CL 70 SUR CR 38 -80 (INTERIOR 1201 );017310008000801201;SABANETA
CL 76 D SUR CR 43 A -79 (INTERIOR 901 );017416403100790901;SABANETA
CL 67 SUR CR 45 -44 (INTERIOR 103 );016417005000440103;SABANETA
CL 65 SUR CR 42 B -14 (INTERIOR 2216 );016415002200142216;SABANETA
CL 55 A SUR CR 38 -130 (INTERIOR 310 );015315108001300310;SABANETA
CL 77 SUR CR 46 -180 (INTERIOR 3001 );017417006001803001;SABANETA
CL 68 SUR CR 45 -30 (INTERIOR 302 );016418005000300302;SABANETA
CL 78 E SUR CR 47 C -80 (INTERIOR 2314 );017418507300802314;SABANETA
